--Передмова,         1:57.2
Майже весна,         7:48.4
Я до тебе,          13:50.5
Сонце,              19:31.6
Еверест,            25:35
--Середмова 1,      27:09.2
Для тебе,           31:47.4
Відчуваю,           36:42.7
Там де нас нема,    41:46.2
Стріляй,            48:00.9
Мить,               54:13.5
Коли тобі важко,    59:15.3
Вище неба,        1:03:46.3
Без меж,          1:09:56.7
Не твоя війна,    1:14:34.1
Стіна,            1:18:55
Холодно,          1:26:42.5
Не йди,           1:32:34
--Середмова 2,    1:33:44.2
911,              1:37:51.9
Вулиця,           1:45:00.17
Не питай,         1:48:29.4
Без бою,          1:53:09
Друг,             1:59:46.2
Я так хочу…,      2:06:40.1
Твої зелені очі,  2:12:40.7
На небі,          2:19:16
Все буде добре,   2:22:59
Небо над Дніпром, 2:28:28
